Country,2022,2022_lower, 2022_upper, 2022_Footnote
Afghanistan,46,38,55,
Albania,... ,... , ...,Children estimates were not available at the time of publication.
Algeria,27,26,29,
Angola,16,11,18,
Argentina,... ,... , ...,
Armenia,... ,... , ...,
Australia,... ,... , ...,Children estimates were not available at the time of publication.
Austria,... ,... , ...,Estimates were not available at the time of publication.
Azerbaijan,20,16,23,
Bahamas,21,18,24,
Bahrain,... ,... , ...,Estimates were not available at the time of publication.
Bangladesh,41,40,43,
Barbados,... ,... , ...,
Belarus,7,4,9,
Belgium,... ,... , ...,Children estimates were not available at the time of publication.
Belize,19,15,22,
Benin,11,9,15,
Bhutan,... ,... , ...,
Bolivia (Plurinational State of),15,11,18,
Bosnia and Herzegovina,... ,... , ...,Estimates were not available at the time of publication.
Botswana,2,2,5,
Brazil,... ,... , ...,
Brunei Darussalam,... ,... , ...,Estimates were not available at the time of publication.
Bulgaria,... ,... , ...,Children estimates were not available at the time of publication.
Burkina Faso,14,10,18,
Burundi,11,7,16,
Cabo Verde,14,11,17,
Cambodia,10,9,14,
Cameroon,14,11,17,
Canada,... ,... , ...,
Central African Republic,26,22,32,
Chad,19,13,23,
Chile,14,13,15,
China,... ,... , ...,Estimates were not available at the time of publication.
Colombia,11,10,12,
Comoros,... ,... , ...,
Congo,32,29,35,
Costa Rica,24,22,25,
Croatia,... ,... , ...,
Cuba,6,5,6,
Cyprus,... ,... , ...,Children estimates were not available at the time of publication.
Czechia,... ,... , ...,Children estimates were not available at the time of publication.
Côte d'Ivoire,11,6,15,
Democratic People's Republic of Korea,... ,... , ...,Estimates were not available at the time of publication.
Democratic Republic of the Congo,26,23,29,
Denmark,... ,... , ...,
Djibouti,... ,... , ...,Estimates were not available at the time of publication.
Dominican Republic,16,11,20,
Ecuador,12,11,16,
Egypt,29,27,30,
El Salvador,16,11,20,
Equatorial Guinea,24,20,28,
Eritrea,16,10,23,
Estonia,... ,... , ...,Children estimates were not available at the time of publication.
Eswatini,2,2,3,
Ethiopia,12,8,19,
Fiji,26,20,30,
Finland,... ,... , ...,Estimates were not available at the time of publication.
France,3,3,3,
Gabon,13,9,18,
Gambia,25,20,28,
Georgia,... ,... , ...,
Germany,... ,... , ...,
Ghana,17,13,22,
Greece,... ,... , ...,Children estimates were not available at the time of publication.
Grenada,... ,... , ...,
Guatemala,25,22,27,
Guinea,25,20,28,
Guinea-Bissau,22,19,25,
Guyana,10,7,14,
Haiti,18,15,21,
Honduras,25,23,27,
Hungary,... ,... , ...,Estimates were not available at the time of publication.
Iceland,... ,... , ...,Children estimates were not available at the time of publication.
India,20,15,26,
Indonesia,30,28,31,
Iran (Islamic Republic of),33,27,39,
Iraq,... ,... , ...,
Ireland,... ,... , ...,
Israel,... ,... , ...,Estimates were not available at the time of publication.
Italy,... ,... , ...,Children estimates were not available at the time of publication.
